Danger_Score,MMSI_A,MMSI_B,Distance_NM,Distance_Meters,TS_A,Latitude,Longitude,SOG_A,SOG_B,Delta_SOG_1,Delta_SOG_2,Delta_COG_1,Delta_COG_2,Report_Interval_Sec_1,File_Source
30,219012073,219028267,0.01629386323075677,30.2,2021-12-18 04:46:33,55.369106,13.996198,2.3,2.3,0.0,0.1,0.0,0.0,20,part-00228-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.017133513736455934,31.7,2021-12-18 06:07:33,55.380272,13.907958,2.4,2.4,0.0,0.0,0.1,0.2,10,part-00229-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.017129435034375723,31.7,2021-12-18 07:25:31,55.391964,13.812149,2.8,2.8,0.0,0.0,0.0,0.0,9,part-00230-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.016673512854707,30.9,2021-12-18 08:33:30,55.411018,13.81047,3.1,2.8,0.1,-0.1,0.1,1.4,8,part-00231-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.01826966113903018,33.8,2021-12-20 03:27:14,55.417274,13.817157,2.0,2.1,0.0,0.0,0.6,3.3,11,part-00255-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.01571272790154344,29.1,2021-12-20 03:39:10,55.412092,13.808482,2.1,2.2,0.0,0.1,0.0,14.9,3,part-00256-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,111265584,265182000,0.012667769201340702,23.5,2021-12-20 11:28:31,55.501594,14.976392,9.0,10.0,0.0,0.9,0.5,2.2,11,part-00260-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219028337,538005968,0.026238580109947836,48.6,2021-12-22 16:20:16,55.642146,13.009897,6.5,6.5,0.0,0.0,2.6,0.0,5,part-00290-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,220476000,565835000,0.02256181296516533,41.8,2021-12-28 15:50:39,55.618901,12.99256,2.0,2.0,-0.1,0.0,0.6,0.9,4,part-00366-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,111265584,305690000,0.020104327663836286,37.2,2021-12-30 10:17:26,55.496849,14.751956,15.0,10.3,0.0,0.0,5.6,0.1,10,part-00387-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.024719463995304673,45.8,2021-12-06 23:38:31,55.334789,13.87923,2.2,4.2,0.3,0.8,15.7,28.0,6,part-00423-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219012073,219028267,0.014927125689262888,27.6,2021-12-17 23:39:02,55.445808,14.304874,3.1,3.2,-0.1,0.0,0.1,0.1,9,part-00425-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
25,219007671,219017081,0.04793075246576733,88.8,2021-12-02 09:46:08,55.098172,14.6924,2.3,4.6,2.3,-0.2,173.3,1.3,59,part-00057-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
25,231848000,257206000,0.04485099587675927,83.1,2021-12-03 16:56:32,55.623722,13.021766,6.4,2.4,3.0,0.5,6.6,6.3,11,part-00074-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
